steps,X,Y,yaw,vx,vy,progress,error,cmd_throttle,cmd_steer,next_left_lane_point_x,next_left_lane_point_y,next_right_lane_point_x,next_right_lane_point_y
6508,-120.21955108642578,-49.428680419921875,1.91568048165012,13.878657306494585,0.03297866641336977,1496.8808787126388,0.15335379364895133,0.5,0.026598433032631874,-114.41741943359375,-46.9548454284668,-128.4530792236328,-51.55412673950195
6509,-120.3051986694336,-49.19085693359375,1.9181906441355743,13.878740981346809,0.031248572088335536,1497.13352317856,0.15243236974869162,0.5,0.025879355147480965,-114.49756622314453,-46.71042251586914,-128.5308837890625,-51.316795349121094
6510,-120.39535522460938,-48.9425048828125,1.920736359821581,13.878836808907133,0.02977111601688165,1497.397578867014,0.15131941250382602,0.5,0.024699095636606216,-114.58149719238281,-46.45499801635742,-128.61239624023438,-51.06877899169922
6511,-120.49501037597656,-48.6700439453125,1.9234450609663005,13.878968391937313,0.027794714634667095,1497.6874963772811,0.1500021249970594,0.5,0.023413987830281258,-114.67375946044922,-46.174625396728516,-128.7019805908203,-50.796539306640625
6512,-120.58252716064453,-48.43259048461914,1.9257198000113918,13.87911890491055,0.02578219476156729,1497.9403559349003,0.1487362387452679,0.5,0.023417815566062927,-114.75439453125,-45.930110931396484,-128.7802734375,-50.55911636352539
6513,-120.67601013183594,-48.18083572387695,1.9280580554484814,13.879254191837067,0.02503641339416962,1498.2086761322719,0.1472487534003561,0.5,0.022012323141098022,-114.84009552001953,-45.670711517333984,-128.86349487304688,-50.30724334716797
6514,-120.77223205566406,-47.92351531982422,1.930365950849144,13.879434105873324,0.023438799333595384,1498.483132946002,0.1456277395472695,0.5,0.02102047950029373,-114.92788696289062,-45.40542221069336,-128.94873046875,-50.049652099609375
6515,-120.8617935180664,-47.685546875,1.9324249738459387,13.879615962375423,0.02188578876494418,1498.7371190876715,0.14405686653236893,0.5,0.020957008004188538,-115.00924682617188,-45.15995788574219,-129.02772521972656,-49.811309814453125
6516,-120.95378875732422,-47.442630767822266,1.9344626915540128,13.879783821497384,0.021360505017081977,1498.9965741730437,0.14237318006537794,0.5,0.02005620300769806,-115.09249114990234,-44.90927505493164,-129.1085662841797,-49.56789779663086
6517,-121.06065368652344,-47.16219711303711,1.9367400937601942,13.879993107657507,0.020430645785630475,1499.2963133590088,0.14037132521176282,0.5,0.018064990639686584,-115.18882751464844,-44.61971664428711,-129.2021026611328,-49.286739349365234
