steps,X,Y,yaw,vx,vy,progress,error,cmd_throttle,cmd_steer,cmd_brake,next_left_lane_point_x,next_left_lane_point_y,next_right_lane_point_x,next_right_lane_point_y,delta,alpha,kappa,lookahead,target_vel,front_left_delta,front_right_delta
54,119.85433197021484,93.05880737304688,0.023319123283275987,19.28595029535102,-0.15916469223563684,18.85433911628715,-0.05882438299752972,1.0,-0.03337358683347702,0.0,120.33125305175781,85.79499816894531,120.37818145751953,100.56492614746094,-0.04430070918421584,-0.023170912753082105,0.00029760377503124016,None,36.31159128477223,-1.1471045017242432,-1.1334974765777588
55,121.01476287841797,93.07491302490234,0.024993205069851213,19.65339781794935,-0.2254921556428109,20.014769349081508,-0.07477477386014339,1.0,-0.035278819501399994,0.0,121.49162292480469,85.79130554199219,121.5385513305664,100.56123352050781,-0.04749047032486099,-0.02484203501280209,0.0003620567903136686,None,32.9212374237481,-1.8278801441192627,-1.7945780754089355
56,122.04849243164062,93.0885009765625,0.021615634372601406,19.97443564462628,-0.21271907119455774,21.048494197540357,-0.08820088032132645,1.0,-0.0320623479783535,0.0,122.5252914428711,85.78802490234375,122.57221984863281,100.55795288085938,-0.04107841225812643,-0.021483290265813502,0.00045460649711521355,None,29.37965422774427,-1.9274085760116577,-1.8905518054962158
57,123.12718200683594,93.10047912597656,0.014849830971065767,20.303711911549836,-0.14670865740871997,22.12717684850412,-0.10001001614008649,0.6963326334953308,-0.021421143785119057,0.0,123.60393524169922,85.78459930419922,123.65086364746094,100.55452728271484,-0.028229779658624245,-0.014758696589988228,0.0005842610650097305,None,25.915585573187084,-1.7472031116485596,-1.7166955471038818
58,124.1856689453125,93.10896301269531,0.006687475256568284,20.620630951727144,-0.05373108779343401,23.18565547132663,-0.10835055505068852,0.0,-0.009815538302063942,1.0,124.66239166259766,85.78123474121094,124.70932006835938,100.55116271972656,-0.012738549881829634,-0.006658188022390031,0.0007425357665647361,None,22.98824465578263,-1.1644314527511597,-1.150304913520813
59,125.35147857666016,93.11417388916016,-0.0019638145977129424,20.92309837194404,0.05415045835130795,24.351454484755372,-0.11345636067842256,0.0,0.003069149097427726,1.0,125.82817077636719,85.77753448486328,125.8750991821289,100.5474624633789,0.003636161451344558,0.0019004423339328417,0.0009093996886304239,None,20.772420177237795,-0.5322931408882141,-0.5292297005653381
60,126.48500061035156,93.1151123046875,-0.0085301039312265,21.07111036092358,0.1367578499834776,25.48496616533544,-0.1143733047635344,0.0,0.011176837608218193,0.7837271094322205,126.961669921875,85.77393341064453,127.00859832763672,100.54386138916016,0.015978558732693843,0.008351970996066015,0.0009289746485234185,None,20.55240115441528,0.16593900322914124,0.1661921739578247
61,127.57276153564453,93.11305236816406,-0.012174372526593627,20.99514723176035,0.18079731138788122,26.572718558111657,-0.11239338550725599,0.0,0.015095946379005909,0.5,128.04942321777344,85.77047729492188,128.09634399414062,100.5404052734375,0.022695534474704026,0.011864092959801608,0.0009178371972383963,None,20.676721213881166,0.6019344329833984,0.6057382822036743
62,128.69479370117188,93.10890197753906,-0.013179983194504849,20.749297703744702,0.18496109305261177,27.69474686409639,-0.10845494101158798,0.0,0.014990495517849922,1.0,129.1714630126953,85.76690673828125,129.2183837890625,100.53683471679688,0.024351686621482627,0.012730222575082871,0.0010009447093862571,None,19.799738531450718,0.8127532601356506,0.8198130130767822
63,129.7607879638672,93.10394287109375,-0.012031628132462682,20.446356594352004,0.15749849146429978,28.760742360801604,-0.10384303520470695,0.0,0.012157647870481014,1.0,130.23745727539062,85.76351928710938,130.2843780517578,100.533447265625,0.021961705606771954,0.01148034126647489,0.0011342420875736499,None,18.599943294505206,0.8089351654052734,0.8160548210144043
64,130.8489990234375,93.09861755371094,-0.009462743985269549,20.051671777646355,0.10920546055759728,29.84896290019167,-0.09903465974147978,0.0,0.007211114279925823,1.0,131.32568359375,85.76006317138672,131.3726043701172,100.52999114990234,0.01697122275792385,0.008870945080740968,0.001270466645985663,None,17.574495442455177,0.6589514017105103,0.6639372706413269
65,131.90899658203125,93.09368896484375,-0.0063910534638235055,19.591941189600075,0.055544916516073406,30.90898329274788,-0.09472058911088536,0.0,0.0021058544516563416,1.0,132.38568115234375,85.75669860839844,132.43260192871094,100.52662658691406,0.011155954443197632,0.005830913148765708,0.0014118185518474623,None,16.6715146025611,0.39322587847709656,0.395197331905365
66,132.85552978515625,93.08970642089844,-0.00379234113219851,19.145322099961025,0.011339912192857016,31.85554303856927,-0.09131825473149453,0.0,-0.001616381574422121,1.0,133.3322296142578,85.75369262695312,133.379150390625,100.52362060546875,0.006351865532172436,0.003319841093698506,0.0015646900424443428,None,15.836176736867623,0.11554881185293198,0.11581450700759888
67,133.90345764160156,93.08580017089844,-0.0016319847258890693,18.620488644596183,-0.025419769056213622,32.90350527760807,-0.08802247813188985,0.0,-0.0051677715964615345,1.0,134.38015747070312,85.75035858154297,134.4270782470703,100.5202865600586,0.002529128893067972,0.0013218475725357247,0.0017139901277075963,None,15.130746016120312,-0.08913128077983856,-0.08917290717363358
68,134.81982421875,93.082763671875,-0.0005619268599695566,18.14032235681434,-0.04353612638763657,33.81990197657908,-0.08543775039494611,0.0,-0.005995549727231264,1.0,135.29652404785156,85.74745178222656,135.34344482421875,100.51737976074219,0.0008610655068273603,0.000450034363432329,0.0018423273715944628,None,14.594227002667779,-0.2860370874404907,-0.2855922281742096
69,135.7757568359375,93.07975006103516,-0.0003850930611161672,17.62169766162917,-0.04922531830770875,34.77586402555273,-0.0827593618500245,0.0,-0.005790911614894867,1.0,136.25245666503906,85.74441528320312,136.29937744140625,100.51434326171875,0.0010254452226284914,0.0005359471939816442,0.0019995141779175687,None,14.008842590522324,-0.33311375975608826,-0.33249908685684204
70,136.69467163085938,93.0768814086914,-0.0009475525858130303,17.10859159336397,-0.042759473345534316,35.694803636551434,-0.08003188178581779,0.0,-0.0040411860682070255,1.0,137.17137145996094,85.74149322509766,137.21829223632812,100.51142120361328,0.002687888076636248,0.0014048233974882955,0.0021709295116973545,None,13.444406591177827,-0.323012113571167,-0.32242196798324585
71,137.6050262451172,93.07390594482422,-0.0019414444346677647,16.587725594885928,-0.029558414049716784,36.60517581865288,-0.076972931091164,0.0,-0.0016377251595258713,1.0,138.08172607421875,85.73860168457031,138.12864685058594,100.50852966308594,0.005269872038676349,0.002754317501690227,0.0024508009649100906,None,12.653494423707498,-0.22628413140773773,-0.22622300684452057
