steps,X,Y,yaw,vx,vy,yawdot,progress,error,cmd_throttle,cmd_steer,cmd_brake,next_left_lane_point_x,next_left_lane_point_y,next_right_lane_point_x,next_right_lane_point_y,last_ts,mpc_time
61,142.70994567871094,-11.649951934814453,-3.0909201548966374,11.862844609139678,-0.009402502592362971,0.003509533577349145,5.712457390476896,0.04704155512234903,1.0,0.03384125977754593,0.0,141.85736083984375,-2.479494094848633,142.72354125976562,-20.72895050048828,0.016618512570858,-1
62,142.5005340576172,-11.660858154296875,-3.0903475752622707,11.976267538766209,0.029626517503598127,0.03262398071681809,5.925185939164212,0.05152300846020083,1.0,0.04483278840780258,0.0,141.64590454101562,-2.489661693572998,142.53453063964844,-20.738037109375,0.017550881952047348,-1
63,142.29656982421875,-11.672147750854492,-3.0892474234159586,12.084912352810075,0.06755572427347778,0.06493924640420455,6.132144568587407,0.05548833664295775,1.0,0.05485878884792328,0.0,141.43991088867188,-2.499828815460205,142.35040283203125,-20.747127532958984,0.016941247507929802,-1
64,142.09751892089844,-11.68387508392334,-3.0876322162148258,12.189322902011162,0.10322732071044827,0.09852524913617544,6.3339054250755655,0.05889382546508007,1.0,0.0638074278831482,0.0,141.23886108398438,-2.509965658187866,142.1707000732422,-20.75618553161621,0.016393840312957764,-1
65,141.88308715820312,-11.697380065917969,-3.0852779818111955,12.30020414737338,0.13852757076052957,0.13447313317755333,6.551036682575529,0.06195212045593334,1.0,0.0713081806898117,0.0,141.02223205566406,-2.521165132522583,141.97708129882812,-20.76619529724121,0.017507098615169525,-1
66,141.67971801757812,-11.711041450500488,-3.082496842684826,12.404083620474493,0.16800123299961667,0.16889179029238172,6.756764672485929,0.06424001632538337,1.0,0.0776679515838623,0.0,140.81675720214844,-2.5320565700531006,141.79342651367188,-20.77593231201172,0.016466988250613213,-1
67,141.455810546875,-11.727133750915527,-3.0788336646054217,12.51718741238987,0.19526825470193165,0.20380661681953252,6.983058517000273,0.06596745408558774,1.0,0.08210401237010956,0.0,140.5904998779297,-2.5443191528320312,141.5911865234375,-20.786893844604492,0.017973793670535088,-1
68,141.2448272705078,-11.743290901184082,-3.0748865935538157,12.622859038419913,0.21527859942560446,0.23495979701236405,7.196095863092957,0.06683979711489964,1.0,0.08544408529996872,0.0,140.37722778320312,-2.5561347007751465,141.4005584716797,-20.797454833984375,0.016798920929431915,-1
69,141.03013610839844,-11.760764122009277,-3.070429527153459,12.729553378477698,0.23033737420234102,0.2628519204072175,7.41269513777562,0.0669220849525275,1.0,0.08724784106016159,0.0,140.1602020263672,-2.5684587955474854,141.2065887451172,-20.808469772338867,0.016956567764282227,-1
70,140.80319213867188,-11.780386924743652,-3.0653045399517103,12.841605291111392,0.2401340843138844,0.2882982540984685,7.64146722179337,0.06609366291586202,1.0,0.08717193454504013,0.0,139.93072509765625,-2.5817689895629883,141.00146484375,-20.82036781311035,0.01777668483555317,-1
71,140.57456970214844,-11.801332473754883,-3.0598117702034218,12.953920112462015,0.24348199394960557,0.3092778807282588,7.87174275516218,0.06431517957315512,1.0,0.08562522381544113,0.0,139.69952392578125,-2.595510244369507,140.79481506347656,-20.83264923095703,0.017759982496500015,-1
72,140.3571319580078,-11.822322845458984,-3.054369600515845,13.060309884137094,0.24096498885337203,0.32469997650975735,8.09058330832841,0.061760106925364495,1.0,0.0832669734954834,0.0,139.47958374023438,-2.608851432800293,140.5982208251953,-20.844572067260742,0.016760610044002533,-1
73,140.12828063964844,-11.845540046691895,-3.048493868202803,13.17175776247655,0.23319727528785128,0.33574948382555053,8.320740897715007,0.058150579698176184,1.0,0.07922599464654922,0.0,139.248046875,-2.623208999633789,140.3912811279297,-20.857404708862305,0.017500346526503563,-1
74,139.8878631591797,-11.871132850646973,-3.0422594080909278,13.288335230851494,0.21953372983895947,0.3419242891865608,8.562348446014894,0.05336879551321146,1.0,0.07354135811328888,0.0,139.00477600097656,-2.6386446952819824,140.173828125,-20.871204376220703,0.01823345199227333,-1
75,139.65000915527344,-11.89759349822998,-3.0361320070548734,13.40321947692229,0.2007282648566444,0.34241090311339695,8.801199209149294,0.047697119985491726,1.0,0.06697871536016464,0.0,138.7640380859375,-2.654250383377075,139.9586639404297,-20.88515281677246,0.01789487712085247,-1
76,139.43862915039062,-11.92197322845459,-3.0307976953914446,13.504906197852394,0.17998236501059228,0.33793099485726236,9.013311759048865,0.04194760774437748,1.0,0.06077039614319801,0.0,138.55010986328125,-2.6683924198150635,139.76744079589844,-20.897790908813477,0.015785209834575653,-1
77,139.21173095703125,-11.949037551879883,-3.025265244542914,13.613441137274465,0.1552074070316969,0.3289290184888991,9.240845452134048,0.03503203438554192,1.0,0.053197070956230164,0.0,138.32040405273438,-2.683889865875244,139.5621337890625,-20.911645889282227,0.016819588840007782,-1
78,138.98617553710938,-11.97677230834961,-3.0200297361559274,13.720719919054968,0.12792802753794907,0.3154692087259949,9.466873481094726,0.027469589617413748,1.0,0.04501616209745407,0.0,138.092041015625,-2.6996030807495117,139.35801696777344,-20.925689697265625,0.01659594103693962,-1
79,138.74832153320312,-12.006837844848633,-3.0148656004861545,13.833071478342578,0.09710456376664789,0.2973782978565199,9.70505599531685,0.01881719208400455,1.0,0.0358521044254303,0.0,137.85121154785156,-2.7165026664733887,139.14276123046875,-20.940793991088867,0.01736554317176342,-1
80,138.53099060058594,-12.034942626953125,-3.010513995264965,13.93503911984139,0.06687780464303184,0.2761965873707867,9.92252663272427,0.01039253594204777,1.0,0.02701256051659584,0.0,137.6311492919922,-2.732231378555298,138.94606018066406,-20.954853057861328,0.015755463391542435,-1
81,138.29248046875,-12.066402435302734,-3.0062217785360845,14.046013135456134,0.03315619316729146,0.25011839766191396,10.161020354382712,0.0006435600541233315,1.0,0.01724536344408989,0.0,137.1156005859375,-2.7702205181121826,138.48526000976562,-20.98880958557129,0.01716073974967003,-1
82,138.04173278808594,-12.100054740905762,-3.0023008064631607,14.161591502597217,-0.00239673923696615,0.21902363339820574,10.411551101249145,-0.01007172916412932,1.0,0.006968465633690357,0.0,136.8611602783203,-2.7895383834838867,138.25782775878906,-21.00607681274414,0.01790205016732216,-1
83,137.80087280273438,-12.132804870605469,-2.9991364384559285,14.271489172813029,-0.03655422275919529,0.1854342252330476,10.652005171969837,-0.020696051045283628,1.0,-0.003043445060029626,0.0,136.61672973632812,-2.808440685272217,138.0393524169922,-21.02297019958496,0.017064638435840607,-1
84,137.58168029785156,-12.162863731384277,-2.996794720909422,14.370497820523509,-0.06757428689192557,0.15184090605483008,10.87065319456774,-0.030552515606303975,1.0,-0.01251256000250578,0.0,136.39431762695312,-2.825971841812134,137.84056091308594,-21.038639068603516,0.01542217843234539,-1
85,137.34228515625,-12.195859909057617,-2.994879908085655,14.477475515389898,-0.09987475827234471,0.1145095114627805,11.10926245403121,-0.041424568385273516,1.0,-0.02210620790719986,0.0,136.15138244628906,-2.845428705215454,137.62342834472656,-21.056032180786133,0.01672186702489853,-1
86,137.11068725585938,-12.227846145629883,-2.9936599139902897,14.579828163258597,-0.12930737656152957,0.07594584167325662,11.339902326527726,-0.051960842101758845,1.0,-0.03143145889043808,0.0,135.91641235351562,-2.8645925521850586,137.41339111328125,-21.07316017150879,0.016064001247286797,-1
87,136.8661346435547,-12.26155948638916,-2.993070290124946,14.686658979103735,-0.15770435240092695,0.035019216736281854,11.583227715074798,-0.06298910289189176,1.0,-0.040452778339385986,0.0,135.66831970214844,-2.8851585388183594,137.191650390625,-21.091541290283203,0.01683715172111988,-1
88,136.62777709960938,-12.294260025024414,-2.99316589760808,14.789598554446954,-0.18253680391934957,-0.005867269096722748,11.820172782486797,-0.07355823473309217,1.0,-0.049055613577365875,0.0,135.42654418945312,-2.9055702686309814,136.97555541992188,-21.109785079956055,0.01629505679011345,-1
89,136.3839569091797,-12.327423095703125,-2.993950997497435,14.893683615074826,-0.20466370979717574,-0.04744229714591862,12.062321165730586,-0.08407571059815651,1.0,-0.05709110572934151,0.0,135.17930603027344,-2.9267830848693848,136.7545623779297,-21.128747940063477,0.0165485218167305,-1
90,136.11996459960938,-12.362875938415527,-2.9955696668079854,15.00509511490859,-0.22404493035226003,-0.09101706542678124,12.32423819469742,-0.09501819484691401,1.0,-0.06430533528327942,0.0,134.9116668701172,-2.950153112411499,136.5153350830078,-21.149635314941406,0.01778423972427845,-1
91,135.8766326904297,-12.395050048828125,-2.997706320950556,15.106660505775093,-0.2379795840414931,-0.13129705656031038,12.565414969142758,-0.10462355996761911,1.0,-0.07112725079059601,0.0,134.6650390625,-2.9720592498779297,136.29490661621094,-21.169214248657227,0.016273435205221176,-1
92,135.63327026367188,-12.426628112792969,-3.0004469800283564,15.207123909300012,-0.24854742421964882,-0.16956220905639044,12.806385396863972,-0.113667234515796,1.0,-0.07718727737665176,0.0,134.41847229003906,-2.9943196773529053,136.07452392578125,-21.189111709594727,0.01616314798593521,-1
93,135.37716674804688,-12.459099769592285,-3.003956227396754,15.311719679966668,-0.2555505504130733,-0.20780088874038785,13.059707460584066,-0.1224804871638632,1.0,-0.08221466094255447,0.0,134.15911865234375,-3.0181360244750977,135.8426971435547,-21.210399627685547,0.016887547448277473,-1
94,135.11849975585938,-12.49101734161377,-3.008094513414628,15.416311905236874,-0.2581145138744665,-0.24438191875319423,13.315293694547266,-0.13057723500592872,1.0,-0.0863710567355156,0.0,133.89727783203125,-3.0425684452056885,135.60865783691406,-21.232236862182617,0.016933683305978775,-1
